Артикул;Наименование;Количество;Единица измерения;Тип;Цена
FS02PT;Крепление для стекла 4 мм прозрачное;2173;шт.;Крепления и соединители;6,43
FS03PB;Держатель зеркала 3мм, белый;1001;шт.;Крепления и соединители;0,5
FS03PMA;Держатель зеркала 3мм, коричневый;2198;шт.;Крепления и соединители;0,5
FS03PNE;Держатель зеркала 3мм, черный;2463;шт.;Крепления и соединители;0,45
FS03PT;Держатель зеркала 3мм, прозрачный;2592;шт.;Крепления и соединители;1
FS0405AC;Держатель зеркала 5 мм коричн.;2072;шт.;Крепления и соединители;0,5
KZS15X15;Крепление задней стенки, 15х15 мм;2897;шт.;Крепления и соединители;0,85
MMC130W;Соединитель диванный клиновой, 130 мм;2745;компл.;Крепления и соединители;34,78
MMZ46X35;Захват для мягкой мебели малый;1203;шт.;Крепления и соединители;6,77
MMZ97X48;Захват для мягкой мебели;383;шт.;Крепления и соединители;15,82
ПК100;Пластина крепежная металлическая, 100*18 мм;2640;шт.;Крепления и соединители;7,35
ПК40;Пластина крепежная металлическая, 38х16 мм;2467;шт.;Крепления и соединители;2,79
ПК50;Пластина крепежная металлическая, 50*18 мм;733;шт.;Крепления и соединители;4,2
MAG A16;Магнит под саморез, D16 мм;1874;шт.;Крепления и соединители;87,44
MAG C16;Магнит со шпилькой М4, D16 мм;1767;шт.;Крепления и соединители;90,86
MAG D16;Ответная планка для магнита под саморез, D16 мм;903;шт.;Крепления и соединители;37,47
